experiment_id,git_commit,git_dirty,model,revision,precision,method,context,batch_micro,grad_accum,rank,seed,steps_requested,steps_completed,status,exit_code,signal,wall_time_s,step_time_avg_s,step_time_median_s,throughput_tok_s,peak_metal_gpu_memory_bytes,peak_process_memory_bytes,swap_before_bytes,swap_after_bytes,training_loss_final,dataset,manifest_verified,evidence_quality,formal_or_probe,raw_result_path
20260907T021942754783Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079aa-0d22-7b82-b087-2e81025cf45b,c2303aa7ffd2,True,Qwen/Qwen3-0.6B,null,null,lora,512,1,1,8,42,20,null,runtime_error,1,null,3.511,null,null,null,null,null,740818944,740818944,null,exp0-synthetic-smoke,True,medium,smoke,results/raw/20260907T021942754783Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079aa-0d22-7b82-b087-2e81025cf45b
20260907T022132013680Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079ab-b7ed-7447-a05f-b39f0285f29c,c2303aa7ffd2,True,Qwen/Qwen3-0.6B,null,null,lora,512,1,1,8,42,20,null,runtime_error,1,null,4.058,null,null,null,null,null,740818944,740818944,null,exp0-synthetic-smoke,True,medium,smoke,results/raw/20260907T022132013680Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079ab-b7ed-7447-a05f-b39f0285f29c
20260907T022332559211Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079ad-8ecf-7cbe-b5e3-d272557aa348,c2303aa7ffd2,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,lora,512,1,1,8,42,20,20,success,0,null,2.728,0.06765,0.066805,284.8899,1337468438,null,740818944,740818944,2.874138,exp0-synthetic-smoke,True,medium,smoke,results/raw/20260907T022332559211Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079ad-8ecf-7cbe-b5e3-d272557aa348
20260907T022556721693Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079af-c1f1-73d0-966a-a96df7d37d9e,c2303aa7ffd2,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,lora,512,1,1,8,42,20,20,success,0,null,2.734,0.068275,0.068109,282.2631,1337402902,null,740818944,740818944,2.874138,exp0-synthetic-smoke,True,medium,smoke,results/raw/20260907T022556721693Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079af-c1f1-73d0-966a-a96df7d37d9e
20260907T024058016577Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079bd-82a0-7e05-8094-4012df9f2def,48d2722b713e,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,lora,512,1,1,8,42,100,100,success,0,null,8.678,0.071901,0.072614,269.6592,1337991928,null,740818944,740818944,0.42167,exp0-synthetic-smoke,True,medium,calibration,results/raw/20260907T024058016577Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079bd-82a0-7e05-8094-4012df9f2def
20260907T024106970990Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079bd-a59b-799e-ba6b-0ea7a10b3ff2,48d2722b713e,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,lora,512,1,1,8,42,100,100,success,0,null,8.542,0.070793,0.071337,273.881,1338385144,null,740818944,740818944,0.42167,exp0-synthetic-smoke,True,medium,calibration,results/raw/20260907T024106970990Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079bd-a59b-799e-ba6b-0ea7a10b3ff2
20260907T024115717682Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079bd-c7c5-70da-a357-155d77baf283,48d2722b713e,True,Qwen/Qwen3-0.6B,c1899de289a04d12100db370d81485cdf75e47ca,bf16,lora,512,1,1,8,42,100,100,success,0,null,8.541,0.070786,0.071366,273.9085,1338204920,null,740818944,740818944,0.42167,exp0-synthetic-smoke,True,medium,calibration,results/raw/20260907T024115717682Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079bd-c7c5-70da-a357-155d77baf283
20260907T024646490250Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079c2-d3da-7155-86ac-53cf7f4ae3b2,2865b47f3247,True,Qwen/Qwen3-1.7B,70d244cc86ccca08cf5af4e1e306ecf908b1ad5e,bf16,lora,512,1,1,8,42,100,100,success,0,null,22.334,0.156219,0.157745,124.1135,3640497315,null,732430336,2288391291,0.19594,exp0-synthetic-smoke,True,medium,calibration,results/raw/20260907T024646490250Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079c2-d3da-7155-86ac-53cf7f4ae3b2
20260907T024709149499Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079c3-2c5d-7344-b870-479dba0fefc8,2865b47f3247,True,Qwen/Qwen3-1.7B,70d244cc86ccca08cf5af4e1e306ecf908b1ad5e,bf16,lora,512,1,1,8,42,100,100,success,0,null,22.81,0.162883,0.162095,119.0357,3640562851,null,2288391291,2271614075,0.19594,exp0-synthetic-smoke,True,medium,calibration,results/raw/20260907T024709149499Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079c3-2c5d-7344-b870-479dba0fefc8
20260907T024732247104Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079c3-8697-7052-b0ed-584850171716,2865b47f3247,True,Qwen/Qwen3-1.7B,70d244cc86ccca08cf5af4e1e306ecf908b1ad5e,bf16,lora,512,1,1,8,42,100,100,success,0,null,22.881,0.164505,0.165427,117.8619,3640448163,null,2271614075,2271614075,0.19594,exp0-synthetic-smoke,True,medium,calibration,results/raw/20260907T024732247104Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a079c3-8697-7052-b0ed-584850171716
