claim_id,paper_location,claim_text,processed_source,n_raw_runs,raw_experiment_ids,freeze
C1,Abstract; Results/Quantization,"4-bit QLoRA peak memory is 0.54-0.73x of BF16 LoRA (paired, n=7)",key_numbers.json:paired.*.tm.peak_metal_gpu_memory_bytes,29,20260911T174043530559Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0918e-b38b-7093-b4d6-b6cab6007e33;20260911T174225806700Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a09190-430f-705c-9ebd-086dbc4c3c70;20260911T174406709536Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a09191-cd35-735e-a573-46588bffb459;20260911T175402744998Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s123__01a0919a-e57a-76d4-8914-17b78e960632;20260911T175538628879Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a0919c-5c05-7e04-8816-e6a306369b0e;20260911T175713700410Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a0919d-cf64-73a5-bc8b-2add02361d07;20260911T175848555242Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0919f-41eb-789b-bb90-24db6dc9ee32;20260911T180253848519Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a091a3-0019-7912-8f8f-bd0e081a5ee0;20260911T180656788047Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a091a6-b514-7ed5-ae8c-ed1581c445db;20260911T181056825253Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s123__01a091aa-5eb9-7495-8274-d66b5c95af43;20260911T181441578192Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a091ad-ccaa-738f-a5cd-23181c5aaf2d;20260911T181826006931Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a091b1-3957-71f6-ab9b-33d47af0d11c;20260911T192740759539Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a091f0-9ed7-76fc-937b-2c0f67b6a2bd;20260911T220906899506Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a09284-6b53-7097-a4c2-1413faa72d22;20260911T221111158558Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s123__01a09286-50b6-79c6-87bb-a79f0c53c08a;20260911T221315568724Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a09288-36b0-751a-a7c4-9e311dccf329;20260911T221519615040Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0928a-1b3f-76f4-8d07-348dc8d058e0;20260911T221731131287Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0928c-1cfb-75b7-b600-5fadccb13f6f;20260911T221944104849Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a0928e-2468-7e99-b122-1df85235deb2;20260911T222156750583Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a09290-2a8e-76cb-a897-bacd1d83ce03;20260911T222616713158Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s123__01a09294-2209-772a-a046-f6b62c22e592;20260911T223000003930Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a09297-8a44-7410-9bb9-ff754164f943;20260911T223414077670Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0929b-6abd-793f-8431-57626dcf2668;20260911T223842463348Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0929f-831f-71b8-9360-1c1b939dd5e5;20260911T224410028357Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092a4-82ac-7d64-a513-911a27ae446d;20260911T230323003522Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a092b6-1a7b-76ea-bf96-a460fbae8087;20260911T233730664754Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a092d5-5928-7ce3-a6f9-9f519cf2685e;20260912T001156818610Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092f4-e012-7a36-bb7c-891bb24e407b;20260912T083403639485Z__qwen-qwen3-4b__lora-qnone__ctx512__b1-ga1__r8__s42__01a094c0-92f7-7ba5-b5a6-dc98f8ffed72,freeze-04f90a840b8ea8fb
C2,Abstract; Results/Scale Feasibility,"8B 4-bit QLoRA is the highest reproducibly trainable scale: 3/3 seeds, 1644-1694 s per 100-step run, 9.19 GiB peak",key_numbers.json:scale_axis[formal-axis1-8b-4bit-qlora],3,20260915T171705795963Z__mlx-community-qwen3-8b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0a612-8184-7eb3-a99e-ca4b06de7bb7;20260915T174429715197Z__mlx-community-qwen3-8b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0a62b-9713-7077-8359-a639efa8b74b;20260915T181219460490Z__mlx-community-qwen3-8b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a0a645-1184-7a67-a456-c0e6c0d64e3a,freeze-04f90a840b8ea8fb
C3,Abstract; Results/Quantization; Table 3,All paired step-time ratios (1.10-1.23) fall within the preregistered +/-25% equivalence margin (n=7),key_numbers.json:paired.*.tm.median_step_time_seconds; paired_equivalence_verdicts.json,29,20260911T174043530559Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0918e-b38b-7093-b4d6-b6cab6007e33;20260911T174225806700Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a09190-430f-705c-9ebd-086dbc4c3c70;20260911T174406709536Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a09191-cd35-735e-a573-46588bffb459;20260911T175402744998Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s123__01a0919a-e57a-76d4-8914-17b78e960632;20260911T175538628879Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a0919c-5c05-7e04-8816-e6a306369b0e;20260911T175713700410Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a0919d-cf64-73a5-bc8b-2add02361d07;20260911T175848555242Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0919f-41eb-789b-bb90-24db6dc9ee32;20260911T180253848519Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a091a3-0019-7912-8f8f-bd0e081a5ee0;20260911T180656788047Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a091a6-b514-7ed5-ae8c-ed1581c445db;20260911T181056825253Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s123__01a091aa-5eb9-7495-8274-d66b5c95af43;20260911T181441578192Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a091ad-ccaa-738f-a5cd-23181c5aaf2d;20260911T181826006931Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a091b1-3957-71f6-ab9b-33d47af0d11c;20260911T192740759539Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a091f0-9ed7-76fc-937b-2c0f67b6a2bd;20260911T220906899506Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s42__01a09284-6b53-7097-a4c2-1413faa72d22;20260911T221111158558Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s123__01a09286-50b6-79c6-87bb-a79f0c53c08a;20260911T221315568724Z__qwen-qwen3-0-6b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a09288-36b0-751a-a7c4-9e311dccf329;20260911T221519615040Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0928a-1b3f-76f4-8d07-348dc8d058e0;20260911T221731131287Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0928c-1cfb-75b7-b600-5fadccb13f6f;20260911T221944104849Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a0928e-2468-7e99-b122-1df85235deb2;20260911T222156750583Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s42__01a09290-2a8e-76cb-a897-bacd1d83ce03;20260911T222616713158Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s123__01a09294-2209-772a-a046-f6b62c22e592;20260911T223000003930Z__qwen-qwen3-1-7b__lora-qnone__ctx512__b1-ga1__r8__s2026__01a09297-8a44-7410-9bb9-ff754164f943;20260911T223414077670Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0929b-6abd-793f-8431-57626dcf2668;20260911T223842463348Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0929f-831f-71b8-9360-1c1b939dd5e5;20260911T224410028357Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092a4-82ac-7d64-a513-911a27ae446d;20260911T230323003522Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a092b6-1a7b-76ea-bf96-a460fbae8087;20260911T233730664754Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a092d5-5928-7ce3-a6f9-9f519cf2685e;20260912T001156818610Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092f4-e012-7a36-bb7c-891bb24e407b;20260912T083403639485Z__qwen-qwen3-4b__lora-qnone__ctx512__b1-ga1__r8__s42__01a094c0-92f7-7ba5-b5a6-dc98f8ffed72,freeze-04f90a840b8ea8fb
C4,Abstract; Results/Memory Scaling (negative result),"4-bit memory log-log slope 0.57+/-0.05 (R2=0.99, n=4): sublinear, linear hypothesis rejected (H4 unsupported)",key_numbers.json:fits.4bit_qlora.memory,18,20260911T174043530559Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0918e-b38b-7093-b4d6-b6cab6007e33;20260911T174225806700Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a09190-430f-705c-9ebd-086dbc4c3c70;20260911T174406709536Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a09191-cd35-735e-a573-46588bffb459;20260911T175848555242Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0919f-41eb-789b-bb90-24db6dc9ee32;20260911T180253848519Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a091a3-0019-7912-8f8f-bd0e081a5ee0;20260911T180656788047Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a091a6-b514-7ed5-ae8c-ed1581c445db;20260911T221519615040Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0928a-1b3f-76f4-8d07-348dc8d058e0;20260911T221731131287Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0928c-1cfb-75b7-b600-5fadccb13f6f;20260911T221944104849Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a0928e-2468-7e99-b122-1df85235deb2;20260911T223414077670Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0929b-6abd-793f-8431-57626dcf2668;20260911T223842463348Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0929f-831f-71b8-9360-1c1b939dd5e5;20260911T224410028357Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092a4-82ac-7d64-a513-911a27ae446d;20260911T230323003522Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a092b6-1a7b-76ea-bf96-a460fbae8087;20260911T233730664754Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a092d5-5928-7ce3-a6f9-9f519cf2685e;20260912T001156818610Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092f4-e012-7a36-bb7c-891bb24e407b;20260915T171705795963Z__mlx-community-qwen3-8b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0a612-8184-7eb3-a99e-ca4b06de7bb7;20260915T174429715197Z__mlx-community-qwen3-8b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0a62b-9713-7077-8359-a639efa8b74b;20260915T181219460490Z__mlx-community-qwen3-8b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a0a645-1184-7a67-a456-c0e6c0d64e3a,freeze-04f90a840b8ea8fb
C5,Results/Training-Time Scaling,"4-bit step-time log-log slope 1.00+/-0.09 (R2=0.99): approximately linear, not sublinear (H5 partially supported; all Tier-B per D4)",key_numbers.json:fits.4bit_qlora.step_time,18,20260911T174043530559Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0918e-b38b-7093-b4d6-b6cab6007e33;20260911T174225806700Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a09190-430f-705c-9ebd-086dbc4c3c70;20260911T174406709536Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a09191-cd35-735e-a573-46588bffb459;20260911T175848555242Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0919f-41eb-789b-bb90-24db6dc9ee32;20260911T180253848519Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a091a3-0019-7912-8f8f-bd0e081a5ee0;20260911T180656788047Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a091a6-b514-7ed5-ae8c-ed1581c445db;20260911T221519615040Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0928a-1b3f-76f4-8d07-348dc8d058e0;20260911T221731131287Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0928c-1cfb-75b7-b600-5fadccb13f6f;20260911T221944104849Z__mlx-community-qwen3-0-6b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a0928e-2468-7e99-b122-1df85235deb2;20260911T223414077670Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0929b-6abd-793f-8431-57626dcf2668;20260911T223842463348Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0929f-831f-71b8-9360-1c1b939dd5e5;20260911T224410028357Z__mlx-community-qwen3-1-7b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092a4-82ac-7d64-a513-911a27ae446d;20260911T230323003522Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a092b6-1a7b-76ea-bf96-a460fbae8087;20260911T233730664754Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a092d5-5928-7ce3-a6f9-9f519cf2685e;20260912T001156818610Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092f4-e012-7a36-bb7c-891bb24e407b;20260915T171705795963Z__mlx-community-qwen3-8b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0a612-8184-7eb3-a99e-ca4b06de7bb7;20260915T174429715197Z__mlx-community-qwen3-8b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0a62b-9713-7077-8359-a639efa8b74b;20260915T181219460490Z__mlx-community-qwen3-8b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a0a645-1184-7a67-a456-c0e6c0d64e3a,freeze-04f90a840b8ea8fb
C6,Results/Context Boundary,"ctx1024: 24.0 s/step, 11.16 GiB; ctx2048: 20.7 s/step, 23.88 GiB peak (4B 4-bit; 3 seeds each; Tier-B window)",key_numbers.json:context_axis,9,20260911T230323003522Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a092b6-1a7b-76ea-bf96-a460fbae8087;20260911T233730664754Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a092d5-5928-7ce3-a6f9-9f519cf2685e;20260912T001156818610Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092f4-e012-7a36-bb7c-891bb24e407b;20260912T010303078430Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx1024__b1-ga1__r8__s42__01a09323-a9a6-748f-a030-bab82bc1ccb3;20260912T012504760374Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx1024__b1-ga1__r8__s123__01a09337-d478-73f2-b8ba-f06c31d275c2;20260912T014748248831Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx1024__b1-ga1__r8__s2026__01a0934c-a299-7785-a8ed-9037c924a6a4;20260912T020930772906Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx2048__b1-ga1__r8__s42__01a09360-8295-745d-a8ac-c648df627edd;20260912T030114247664Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx2048__b1-ga1__r8__s2026__01a0938f-dd87-7c0f-a464-eee1ecd9e307;20260915T165524052283Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx2048__b1-ga1__r8__s123__01a0a5fe-a494-71f6-b0f1-6c0b4820439c,freeze-04f90a840b8ea8fb
C7,Results/Context Boundary; Table 4,"Trainable context boundary is [2048,4096): ctx4096 and ctx8192 probes were SIGKILLed before completing any step",context_boundary_probe_summary.json,3,20260907T072718449994Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a07ac3-a9b2-7e63-aee6-c2ce5f44e305;20260907T080735708838Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a07ae8-8c1c-72cb-a2fb-351e0e6545a5;20260907T110003248768Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx2048__b1-ga1__r8__s42__01a07b86-7030-7992-b5e9-e44c9960eb61,freeze-04f90a840b8ea8fb
C8,Results/Batch and Rank; Table 5,Batch axis throughput falls monotonically 89.5/66.4/34.6 tok/s at b1/b2/b4 while peak memory rises 6.19/10.04/16.98 GiB (3 seeds each),key_numbers.json:batch_axis,9,20260915T142046551250Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a0a571-1457-7b61-8265-5755de7d3b5a;20260915T142630515233Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a0a576-53f3-7adf-b7c3-0d01216c0a0e;20260915T143216877870Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a0a57b-9cee-73bd-83c1-43119599f617;20260915T143807188631Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b2-ga1__r8__s42__01a0a580-f555-70f4-a96a-3efd755eb8be;20260915T144725655817Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b2-ga1__r8__s123__01a0a589-7ad8-7dcc-9245-9b241b4e4916;20260915T145711514556Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b2-ga1__r8__s2026__01a0a592-6b5b-780f-b112-cbe8e1b58187;20260915T150556205439Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b4-ga1__r8__s42__01a0a59a-6ced-7d6a-8e7b-c78f25b37862;20260915T153646433720Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b4-ga1__r8__s123__01a0a5b6-a861-7c80-b2c3-dfc788eb6072;20260915T161011059799Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b4-ga1__r8__s2026__01a0a5d5-3ef4-738d-b32c-f0a2233b4260,freeze-04f90a840b8ea8fb
C9,Results/Batch and Rank; Fig 7,"Batch-8 is SIGKILLed before any step in all 3 seeds (exit 137, zero stdout, system swap ~20 GiB): batch boundary in [4,8)",key_numbers.json:batch_axis['8']; coverage_report.json,6,20260912T010247917130Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b8-ga1__r8__s42__01a09323-6e6d-7bbc-a2c4-00d73e72c23c;20260912T010255423307Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b8-ga1__r8__s123__01a09323-8bbf-760e-a3d8-f8a9763ccbc8;20260912T010259241894Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b8-ga1__r8__s2026__01a09323-9aaa-7934-b499-d66e8245049e;20260915T164129648692Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b8-ga1__r8__s42__01a0a5f1-e930-7242-9ebd-bfb9f735cb03;20260915T164414079542Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b8-ga1__r8__s123__01a0a5f4-6b7f-75ff-b238-30a384c43889;20260915T164550471089Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b8-ga1__r8__s2026__01a0a5f5-e407-7904-9c86-f6a77dac3a89,freeze-04f90a840b8ea8fb
C10,Results/Batch and Rank; Table 6,LoRA rank is nearly free: ranks 4/8/32 change step time <2% and peak memory by 0.24 GiB (4B 4-bit),key_numbers.json:rank_axis,12,20260911T185709437448Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s42__01a091d4-ad3d-7cd4-b0fa-ab39a44822bc;20260911T190157931498Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s123__01a091d9-142b-7ad4-8c1e-537e7c4f0dc3;20260911T200759039181Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s2026__01a09215-8546-77d5-a1c0-9b36bc5cee2e;20260911T225009694894Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s42__01a092a9-ff9f-7e8e-b33e-a7ee909f9593;20260911T225407165563Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s123__01a092ad-9f3d-756e-a8d7-f37dea27440e;20260911T225842679493Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r4__s2026__01a092b1-d377-774b-b1bd-26e115f01fed;20260911T230323003522Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s42__01a092b6-1a7b-76ea-bf96-a460fbae8087;20260911T233730664754Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s123__01a092d5-5928-7ce3-a6f9-9f519cf2685e;20260912T001156818610Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r8__s2026__01a092f4-e012-7a36-bb7c-891bb24e407b;20260912T004751556601Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r32__s42__01a09315-c104-7e07-a512-7ef4150ab322;20260912T005229332707Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r32__s123__01a09319-fe14-7502-8e56-166f4d12f256;20260912T005628891394Z__mlx-community-qwen3-4b-4bit__qlora-q4__ctx512__b1-ga1__r32__s2026__01a0931d-a5db-72e7-862e-d873772e8ad4,freeze-04f90a840b8ea8fb
