literature_ledger — why each reference is cited (Phase 10)
key,title,authors,year,venue_or_id,verified_against,why_cited,claims_used_for
mlx2023,"MLX: Efficient and flexible machine learning on Apple silicon","Hannun, Digani, Katharopoulos, Collobert",2023,GitHub whitepaper (ml-explore/mlx README BibTeX),web search 2026-09-11,The training framework this entire benchmark is built on (§2.2 Background),framework description only
hu2022lora,"LoRA: Low-Rank Adaptation of Large Language Models","Hu, Shen, Wallis, Allen-Zhu, Li, Wang, Wang, Chen",2022,ICLR 2022 / arXiv 2106.09685,arXiv abs page 2026-09-11,LoRA method definition (§2.3),method semantics; no performance claims reused
dettmers2023qlora,"QLoRA: Efficient Finetuning of Quantized LLMs","Dettmers, Pagnoni, Holtzman, Zettlemoyer",2023,NeurIPS 2023 / arXiv 2305.14314,arXiv + NeurIPS proceedings 2026-09-11,QLoRA method definition and its NVIDIA unified-memory context (§2.3); our Apple unified-memory results contrast with paged-optimizer assumptions,method semantics; motivation only
yang2025qwen3,"Qwen3 Technical Report","Yang, Li, Yang, et al.",2025,arXiv 2505.09388,arXiv abs page 2026-09-11,Model family under study incl. architecture family statement (§3.3),model identity; not performance claims
ding2023ultrachat,"Enhancing Chat Language Models by Scaling High-Quality Instructional Conversations","Ding, Chen, Xu, Qin, Zheng, Hu, Liu, Sun, Zhou",2023,EMNLP 2023 main / arXiv 2305.14233,arXiv + ACL Anthology 2026-09-11,Upstream of our frozen SFT dataset ultrachat_200k (§3.4),dataset provenance only
zhao2024galore,"GaLore: Memory-Efficient LLM Training by Gradient Low-Rank Projection","Zhao, Zhang, Chen, Wang, Anandkumar, Tian",2024,ICML 2024 / arXiv 2403.03507,arXiv + ACM DL 2026-09-11,Related memory-efficient training strategy (§2.4),related work positioning
feng2025profiling,"Profiling Apple Silicon Performance for ML Training","Feng, Xu, Wang, Lin",2025,arXiv 2501.14925,arXiv abs page 2026-09-11,Closest related profiling work on Apple Silicon training; contrasts GPU vs Apple Silicon and notes page-fault effects — our swap observations extend this to fine-tuning boundaries (§2.1),related work; our swap-thrash observations independent
ajayi2025benchmarking,"Benchmarking On-Device Machine Learning on Apple Silicon with MLX","Ajayi, Odunayo",2024,arXiv 2510.18921 / DLI 2024 (non-archival),arXiv abs page 2026-09-11,Closest MLX-benchmarking work; focuses on inference latency of encoders — we extend to fine-tuning memory feasibility (§2.1),related work positioning
dettmers2022llmint8,"LLM.int8(): 8-bit Matrix Multiplication for Transformers at Scale","Dettmers, Lewis, Belkada, Zettlemoyer",2022,NeurIPS 2022 / arXiv 2208.07339,arXiv abs page 2026-09-11,Background on LLM weight quantization line of work (§2.3),background only
chen2016training,"Training Deep Nets with Sublinear Memory Cost","Chen, Xu, Zhang, Guestrin",2016,arXiv 1604.06174,arXiv abs page 2026-09-11,Gradient checkpointing background (we keep it disabled and declare it),methodology note
houlsby2019parameter,"Parameter-Efficient Transfer Learning for NLP",Houlsby et al.,2019,ICML 2019 (PMLR v97 2790-2799),PMLR page 2026-09-11,PEFT lineage background (§2.3),background only
llamacpp,"llama.cpp","Gerganov and contributors",2023,GitHub repository,GitHub,Alternative consumer-device LLM stack context (§2.2),context only
mlxlm,"mlx-lm","MLX team",2023,GitHub repository,GitHub,The fine-tuning library version pinned by this benchmark (§3.2),tooling provenance
applem4,"Apple introduces M4 chip",Apple Inc.,2024,Apple Newsroom press release,apple.com URL 2026-09-11,Hardware generation context for the M4 host (§3.2),hardware context only
